station_name,master_station_id
Bhakti Shakti,P01
Nigdi,P02
Akurdi,P03
Chinchwad,P04
PCMC Bhavan,P05
Sant Tukaram Nagar,P06
Nashik Phata,P07
Kasarwadi,P08
Phugewadi,P09
Dapodi,P10
Bopodi,P11
Khadki,P12
Range Hills,P13
Shivaji Nagar,T002
District Court (Civil Court),T001
Kasba Peth,P16
Mandai,P17
Swargate,P18
Market Yard,P19
Bibwewadi,P20
Padmavati,P21
Balaji Nagar,P22
Chandni Chowk,A01
Kothrud Bus Depot,A02
Vanaz,A03
Anand Nagar,A04
Ideal Colony,A05
Nal Stop,A06
Garware College,A07
Deccan Gymkhana,A08
Chhatrapati Sambhaji Udyan,A09
PMC Bhavan,A10
Mangalwar Peth,A12
Pune Railway Station,A13
Ruby Hall Clinic,A14
Bund Garden,A15
Yerwada,A16
Kalyani Nagar,A17
Ramwadi,A18
Viman Nagar,A19
Somnath Nagar,A20
Kharadi Bypass,A21
Tulaja Bhavani Nagar,A22
Ubale Nagar,A23
Upper Kharadi Road,A24
Wagheshwar Temple,A25
Wagholi,A26
Siddharth Nagar,A27
Bakori Phata,A28
Megapolis Circle,K01
Quadron,K02
Infosys Phase II,K03
Dohler,K04
Wipro Technologies,K05
Pall India,K06
Shivaji Chowk,K07
Hinjawadi,K08
Wakad Chowk,K09
Balewadi Stadium,K10
NICMAR,K11
Ramnagar,K12
Laxmi Nagar,K13
Balewadi Phata,K14
Baner Gaon,K15
Baner,K16
Indian Agricultural Research Institute,K17
Sakal Nagar,K18
Savitribai Phule Pune University,K19
Reserve Bank of India,K20
Agriculture College,K21
Katraj,P23
Vithalwadi,A29
