metro purple Line,metro aqua Line,metro pink Line
Bhakti Shakti,Chandni Chowk,Megapolis Circle
Nigdi,Kothrud Bus Depot,Quadron
Akurdi,Vanaz,Infosys Phase II
Chinchwad,Anand Nagar,Dohler
PCMC Bhavan,Ideal Colony,Wipro Technologies
Sant Tukaram Nagar,Nal Stop,Pall India
Nashik Phata,Garware College,Shivaji Chowk
Kasarwadi,Deccan Gymkhana,Hinjawadi
Phugewadi,Chhatrapati Sambhaji Udyan,Wakad Chowk
Dapodi,PMC Bhavan,Balewadi Stadium
Bopodi,"District Court Pune (transfer to: Purple, Pink)",NICMAR
Khadki,Mangalwar Peth,Ramnagar (Pune)
Range Hills,Pune Railway Station,Laxmi Nagar (Pune)
Shivaji Nagar (transfer to: Pink),Ruby Hall Clinic,Balewadi Phata
"District Court Pune (transfer to: Aqua, Pink)",Bund Garden,Baner Gaon
Kasba Peth,Yerwada,Baner
Mandai,Kalyani Nagar,Indian Agricultural Research Institute
Swargate,Ramwadi,Sakal Nagar
Market Yard,Viman Nagar,Savitribai Phule Pune University
Bibwewadi,Somnath Nagar,Reserve Bank of India
Padmavati,Kharadi Bypass,Agriculture College
Balaji Nagar,Tulaja Bhavani Nagar,Shivaji Nagar (transfer to: Purple)
Katraj,Ubale Nagar,"District Court Pune (transfer to: Purple, Aqua)"
,Upper Kharadi Road,
,Wagheshwar Temple,
,Wagholi,
,Siddharth Nagar,
,Bakori Phata,
,Vithalwadi,
